2017-08-16 17:50:49:3292  初始化线程 
2017-08-16 17:50:49:8092  读取Rules.XML失败String was not recognized as a valid Boolean.
2017-08-16 17:50:49:8472  获取过压保护 
2017-08-16 17:50:49:9682  获得过压过流过功率数据，收到的数据是 01-03-08-0C-7E-15-7C-00-02-49-F0-CE-9E
2017-08-16 17:50:49:9692  获得过压过流过功率数据，收到的数据是 01-03-08-0C-7E-15-7C-00-02-49-F0-CE-9E
2017-08-16 17:50:49:9712  过压 31过流：5过功率：150
2017-08-16 17:50:50:0922  获得开关状态数据：01-03-02-00-01-79-84
2017-08-16 17:50:50:0962  启动采样线程 
2017-08-16 17:50:50:2793  默认设备 开始接收数据 
2017-08-16 17:50:50:3773  默认设备接收数据功！ 
2017-08-16 17:50:50:3813  0.000  30.61
2017-08-16 17:50:50:5413  00.00  30.61
2017-08-16 17:50:50:5943  00.00  30.61
2017-08-16 17:50:50:6473  00.00  30.48
2017-08-16 17:50:50:7853  00.00  30.48
2017-08-16 17:50:50:8393  00.00  30.48
2017-08-16 17:50:50:8913  00.00  29.92
2017-08-16 17:50:50:9283  默认设备 开始接收数据 
2017-08-16 17:50:50:9963  00.00  29.92
2017-08-16 17:50:51:0083  默认设备接收数据功！ 
2017-08-16 17:50:51:0513  00.00  29.92
2017-08-16 17:50:51:1033  00.00  29.92
2017-08-16 17:50:51:1553  00.00  29.28
2017-08-16 17:50:51:3723  00.00  29.28
2017-08-16 17:50:51:4253  00.00  29.28
2017-08-16 17:50:51:4773  00.00  28.88
2017-08-16 17:50:51:5703  00.00  28.88
2017-08-16 17:50:51:6243  00.00  28.88
2017-08-16 17:50:51:6393  默认设备 开始接收数据 
2017-08-16 17:50:51:6763  00.00  28.58
2017-08-16 17:50:51:7193  默认设备接收数据功！ 
2017-08-16 17:50:51:8013  00.00  28.58
2017-08-16 17:50:51:8543  00.00  28.58
2017-08-16 17:50:51:9083  00.00  28.46
2017-08-16 17:50:52:0294  00.00  28.46
2017-08-16 17:50:52:0834  00.00  28.46
2017-08-16 17:50:52:1364  00.00  28.14
2017-08-16 17:50:52:2554  00.00  28.14
2017-08-16 17:50:52:3084  00.00  28.14
2017-08-16 17:50:52:3234  默认设备 开始接收数据 
2017-08-16 17:50:52:3624  00.00  27.73
2017-08-16 17:50:52:4034  默认设备接收数据功！ 
2017-08-16 17:50:52:4734  00.00  27.73
2017-08-16 17:50:52:5294  00.00  27.73
2017-08-16 17:50:52:5834  00.00  27.52
2017-08-16 17:50:52:7124  00.00  27.52
2017-08-16 17:50:52:7664  00.00  27.52
2017-08-16 17:50:52:8184  00.00  27.2
2017-08-16 17:50:52:9374  00.00  27.2
2017-08-16 17:50:52:9924  00.00  27.2
2017-08-16 17:50:53:0054  默认设备 开始接收数据 
2017-08-16 17:50:53:0464  00.00  26.89
2017-08-16 17:50:53:0864  默认设备接收数据功！ 
2017-08-16 17:50:53:1464  00.00  26.89
2017-08-16 17:50:53:2004  00.00  26.89
2017-08-16 17:50:53:2534  00.00  26.74
2017-08-16 17:50:53:3694  00.00  26.74
2017-08-16 17:50:53:4234  00.00  26.74
2017-08-16 17:50:53:4754  00.00  26.42
2017-08-16 17:50:53:6034  00.00  26.42
2017-08-16 17:50:53:6714  默认设备 开始接收数据 
2017-08-16 17:50:53:6734  00.00  26.05
2017-08-16 17:50:53:7525  默认设备接收数据功！ 
2017-08-16 17:50:53:8365  00.00  26.05
2017-08-16 17:50:53:8905  00.00  26.05
2017-08-16 17:50:53:9435  00.00  25.86
2017-08-16 17:50:54:0445  00.00  25.86
2017-08-16 17:50:54:0985  00.00  25.86
2017-08-16 17:50:54:1515  00.00  25.53
2017-08-16 17:50:54:2795  00.00  25.53
2017-08-16 17:50:54:3205  默认设备 开始接收数据 
2017-08-16 17:50:54:3345  00.00  25.36
2017-08-16 17:50:54:4015  默认设备接收数据功！ 
2017-08-16 17:50:54:4515  00.00  25.36
2017-08-16 17:50:54:5035  00.00  25.36
2017-08-16 17:50:54:5565  00.00  25.03
2017-08-16 17:50:54:6435  00.00  25.03
2017-08-16 17:50:54:6975  00.00  25.03
2017-08-16 17:50:54:7505  00.00  24.85
2017-08-16 17:50:54:8315  00.00  24.85
2017-08-16 17:50:54:8865  00.00  24.85
2017-08-16 17:50:54:9415  00.00  24.67
2017-08-16 17:50:54:9425  默认设备 开始接收数据 
2017-08-16 17:50:55:0235  默认设备接收数据功！ 
2017-08-16 17:50:55:0255  00.00  24.67
2017-08-16 17:50:55:0805  00.00  24.67
2017-08-16 17:50:55:1345  00.00  24.67
2017-08-16 17:50:55:1865  00.00  24.3
2017-08-16 17:50:55:3485  00.00  24.3
2017-08-16 17:50:55:4115  00.00  24.3
2017-08-16 17:50:55:4686  00.00  23.93
2017-08-16 17:50:55:5926  00.00  23.93
2017-08-16 17:50:55:6486  00.00  23.93
2017-08-16 17:50:55:6616  默认设备 开始接收数据 
2017-08-16 17:50:55:7016  00.00  23.56
2017-08-16 17:50:55:7416  默认设备接收数据功！ 
2017-08-16 17:50:55:8066  00.00  23.56
2017-08-16 17:50:55:8596  00.00  23.56
2017-08-16 17:50:55:9116  00.00  23.25
2017-08-16 17:50:56:0406  00.00  23.25
2017-08-16 17:50:56:1076  00.00  23.11
2017-08-16 17:50:56:2346  00.00  23.11
2017-08-16 17:50:56:2896  00.00  23.11
2017-08-16 17:50:56:3016  默认设备 开始接收数据 
2017-08-16 17:50:56:3426  00.00  22.81
2017-08-16 17:50:56:3816  默认设备接收数据功！ 
2017-08-16 17:50:56:4466  00.00  22.81
2017-08-16 17:50:56:5036  00.00  22.81
2017-08-16 17:50:56:5606  00.00  22.65
2017-08-16 17:50:56:6956  00.00  22.65
2017-08-16 17:50:56:7516  00.00  22.65
2017-08-16 17:50:56:8036  00.00  22.32
2017-08-16 17:50:56:9166  00.00  22.32
2017-08-16 17:50:56:9726  00.00  22.32
2017-08-16 17:50:57:0276  00.00  21.98
2017-08-16 17:50:57:1326  00.00  21.98
2017-08-16 17:50:57:1876  00.00  21.98
2017-08-16 17:50:57:2417  00.00  21.82
2017-08-16 17:50:57:4497  00.00  21.82
2017-08-16 17:50:57:5037  00.00  21.82
2017-08-16 17:50:57:5597  00.00  21.66
2017-08-16 17:50:57:6907  00.00  21.66
2017-08-16 17:50:57:7467  00.00  21.66
2017-08-16 17:50:57:7997  00.00  21.65
2017-08-16 17:50:57:9047  00.00  21.65
2017-08-16 17:50:57:9597  00.00  21.65
2017-08-16 17:50:58:0127  00.00  21.64
2017-08-16 17:50:58:1157  00.00  21.64
2017-08-16 17:50:58:1897  00.00  21.64
2017-08-16 17:50:58:2437  00.00  21.64
2017-08-16 17:50:58:2977  00.00  21.64
2017-08-16 17:50:58:3547  00.00  21.64
2017-08-16 17:50:58:4077  00.00  21.64
2017-08-16 17:50:58:4627  00.00  21.64
2017-08-16 17:50:58:5157  00.00  21.64
2017-08-16 17:50:58:5697  00.00  21.64
2017-08-16 17:50:58:6237  00.00  21.64
2017-08-16 17:50:58:6767  00.00  21.64
2017-08-16 17:50:58:7297  00.00  21.64
2017-08-16 17:50:58:7877  00.00  21.64
2017-08-16 17:50:58:8427  00.00  21.64
2017-08-16 17:50:58:8977  00.00  21.64
